Make,Model,Year,Fuel Type,Transmission,Customer ID,Customer Location,Customer Age,Customer Gender,Sale Price,Discount,Taxes,Final Price,Payment Method,Registration Number,Registration Date,Expiry Date,Dealer Name,Dealer Location,Ownership Status,Warranty Period,Loan Status,Insurance Provider
Kia,Seltos,2022,Hybrid,Automatic,CUST2575,Los Angeles,48,Male,44236.11,562.21,3538.89,47212.79,Credit Card,REG-33823,25-07-2021,15-11-2023,Vroom,Houston,New,2 years,Pending,Allstate
Honda,Pilot,2024,Electric,Manual,CUST7732,Denver,28,Male,41245.7,3655.99,3299.66,40889.37,Financed Loan,REG-83862,11-10-2021,15-05-2024,Vroom,Miami,Used,No Warranty,Pending,Liberty Mutual
Toyota,Rav4,2023,Hybrid,Manual,CUST3338,Denver,56,Other,79630.49,2868.02,6370.44,83132.91,Cash,REG-74880,02-05-2020,16-07-2022,AutoNation,Seattle,Used,No Warranty,Rejected,Progressive
Ford,Escape,2023,Electric,Automatic,CUST6755,New York,30,Male,32019.86,757.98,2561.59,33823.47,Credit Card,REG-32882,07-12-2022,10-11-2025,Local Dealer,Los Angeles,New,2 years,Approved,Geico
Ford,Focus,2022,Electric,Manual,CUST1715,New York,51,Male,46393.1,4785.27,3711.45,45319.28,Cash,REG-70244,12-08-2022,30-04-2026,CarMax,Denver,Used,No Warranty,Pending,State Farm
Kia,Sportage,2021,Hybrid,Manual,CUST8413,Seattle,44,Male,64734.17,3064.86,5178.73,66848.04,Financed Loan,REG-82142,02-12-2022,16-06-2024,Local Dealer,Miami,New,5 years,Approved,Geico
Audi,Q5,2021,Electric,Manual,CUST8233,Miami,63,Female,58644.33,1280.91,4691.55,62054.97,Financed Loan,REG-84796,14-01-2024,06-08-2025,AutoNation,Houston,New,3 years,Rejected,State Farm
Honda,Civic,2020,Petrol,Manual,CUST1145,New York,40,Male,22924.73,1224.97,1833.98,23533.74,Credit Card,REG-71042,30-08-2021,05-06-2024,AutoNation,Dallas,Used,No Warranty,Approved,State Farm
Hyundai,Santa Fe,2018,Electric,Manual,CUST9605,Miami,42,Other,49986.37,152.02,3998.91,53833.26,Credit Card,REG-13483,15-10-2024,25-04-2027,Local Dealer,Dallas,Used,No Warranty,Rejected,Progressive
Honda,Pilot,2017,Electric,Automatic,CUST2422,Houston,29,Female,33638.2,841.34,2691.06,35487.92,Credit Card,REG-81823,09-10-2022,10-01-2027,AutoNation,Denver,New,3 years,Rejected,Liberty Mutual
Ford,Fusion,2016,Diesel,Manual,CUST4450,Seattle,55,Other,32661.04,3814.61,2612.88,31459.31,Bank Transfer,REG-41244,16-03-2022,21-02-2025,TrueCar,San Francisco,Used,No Warranty,Rejected,Progressive
Mercedes,C-Class,2019,Diesel,Automatic,CUST3362,Miami,36,Other,47153.37,2297.78,3772.27,48627.86,Financed Loan,REG-41274,03-03-2021,29-10-2025,AutoNation,Houston,New,2 years,Approved,State Farm
Chevrolet,Malibu,2015,Hybrid,Manual,CUST3292,Chicago,45,Female,78403.17,1201.88,6272.25,83473.54,Cash,REG-53187,21-01-2021,27-04-2024,Local Dealer,Miami,New,4 years,Rejected,Geico
Mercedes,GLA,2017,Electric,Automatic,CUST8575,San Francisco,61,Female,57475.47,2203.28,4598.04,59870.23,Bank Transfer,REG-65373,29-07-2021,16-03-2025,TrueCar,Chicago,Used,No Warranty,Pending,State Farm
Ford,Explorer,2021,Hybrid,Manual,CUST8039,Dallas,46,Male,71565.16,4370.99,5725.21,72919.38,Bank Transfer,REG-56798,28-03-2021,07-09-2024,TrueCar,Dallas,New,4 years,Pending,State Farm
Audi,A3,2017,Petrol,Manual,CUST1319,Chicago,27,Male,54515.07,2098.86,4361.21,56777.42,Credit Card,REG-99254,28-10-2022,07-04-2024,Local Dealer,Houston,New,3 years,Rejected,Progressive
Audi,Q5,2022,Electric,Manual,CUST2726,Miami,61,Male,34387.53,266.57,2751,36871.96,Financed Loan,REG-16629,10-07-2020,09-10-2023,DriveTime,San Francisco,Used,No Warranty,Pending,Allstate
Hyundai,Elantra,2017,Petrol,Manual,CUST7217,Seattle,25,Other,49711.63,4507.66,3976.93,49180.9,Financed Loan,REG-61383,25-04-2021,10-10-2024,CarMax,Boston,Used,No Warranty,Approved,State Farm
Honda,Accord,2017,Electric,Automatic,CUST2176,Miami,70,Female,57936.87,85.16,4634.95,62486.66,Cash,REG-60244,28-01-2022,11-01-2026,Local Dealer,San Francisco,Used,No Warranty,Pending,Liberty Mutual
BMW,5 Series,2019,Diesel,Manual,CUST2069,Chicago,21,Other,20436.81,1314.43,1634.94,20757.32,Credit Card,REG-34394,14-09-2023,04-05-2026,DriveTime,Los Angeles,New,4 years,Rejected,Liberty Mutual
Honda,Civic,2024,Hybrid,Manual,CUST7160,Dallas,60,Other,76332.51,2558.45,6106.6,79880.66,Cash,REG-92368,07-08-2021,11-02-2025,Vroom,Boston,Used,No Warranty,Approved,Liberty Mutual
Kia,Sorento,2022,Petrol,Automatic,CUST6671,New York,50,Female,6553.47,4953.23,524.28,2124.52,Cash,REG-12760,03-08-2024,24-07-2026,AutoNation,San Francisco,New,2 years,Rejected,State Farm
Audi,A4,2020,Hybrid,Manual,CUST8654,Dallas,21,Male,79132.44,4424.82,6330.6,81038.22,Financed Loan,REG-66524,01-01-2024,20-06-2027,TrueCar,San Francisco,Used,No Warranty,Rejected,Progressive
Kia,Soul,2023,Hybrid,Manual,CUST3596,San Francisco,27,Male,23386.89,1853.54,1870.95,23404.3,Credit Card,REG-43186,07-08-2022,02-08-2025,TrueCar,San Francisco,New,4 years,Approved,Geico
Chevrolet,Traverse,2018,Hybrid,Manual,CUST8968,Seattle,29,Male,55202.3,2999.6,4416.18,56618.88,Financed Loan,REG-73083,20-12-2022,29-12-2023,Local Dealer,San Francisco,Used,No Warranty,Approved,Allstate
Chevrolet,Traverse,2018,Hybrid,Automatic,CUST4608,Chicago,37,Other,9178.41,112.02,734.27,9800.66,Credit Card,REG-42437,18-09-2020,04-03-2023,TrueCar,Houston,Used,No Warranty,Rejected,Liberty Mutual
Chevrolet,Malibu,2023,Electric,Automatic,CUST2640,Miami,59,Male,59800.1,2018.25,4784.01,62565.86,Bank Transfer,REG-90707,27-12-2022,04-01-2025,DriveTime,Chicago,Used,No Warranty,Approved,Geico
Hyundai,Santa Fe,2015,Electric,Automatic,CUST5622,Miami,44,Male,59379.87,3121.96,4750.39,61008.3,Financed Loan,REG-76321,23-01-2024,02-07-2027,CarMax,Seattle,New,2 years,Pending,Allstate
Nissan,Altima,2017,Electric,Automatic,CUST6956,Chicago,63,Female,57183.21,3891.4,4574.66,57866.47,Cash,REG-44981,09-07-2023,28-04-2025,DriveTime,Miami,Used,No Warranty,Pending,Progressive
Kia,Soul,2023,Petrol,Automatic,CUST3518,Boston,43,Other,50178.14,3828.01,4014.25,50364.38,Cash,REG-64993,12-04-2024,18-06-2025,Vroom,Denver,New,4 years,Approved,Liberty Mutual
Hyundai,Sonata,2022,Hybrid,Automatic,CUST9398,Houston,60,Other,64003.23,2005.09,5120.26,67118.4,Credit Card,REG-66993,08-03-2021,17-06-2025,Vroom,Seattle,New,4 years,Rejected,Geico
Honda,CR-V,2023,Electric,Manual,CUST4401,Los Angeles,64,Male,57174.04,412.74,4573.92,61335.22,Bank Transfer,REG-98473,02-12-2023,21-06-2027,TrueCar,Seattle,Used,No Warranty,Rejected,Progressive
BMW,X3,2021,Hybrid,Automatic,CUST1792,Denver,57,Female,77381.46,2734.75,6190.52,80837.23,Bank Transfer,REG-40147,13-03-2022,31-01-2026,Vroom,Seattle,Used,No Warranty,Rejected,Geico
Honda,Civic,2024,Diesel,Automatic,CUST9216,Miami,24,Other,36177.89,4698.97,2894.23,34373.15,Credit Card,REG-22697,18-10-2024,12-09-2028,CarMax,Chicago,New,5 years,Rejected,Geico
Chevrolet,Tahoe,2019,Hybrid,Automatic,CUST4497,San Francisco,67,Female,75132.33,10.64,6010.59,81132.28,Bank Transfer,REG-44488,08-10-2022,28-06-2024,CarMax,New York,Used,No Warranty,Pending,Geico
Ford,Focus,2020,Electric,Automatic,CUST9732,Boston,21,Female,77006.88,4002.15,6160.55,79165.28,Cash,REG-35654,14-04-2022,10-05-2026,TrueCar,New York,Used,No Warranty,Rejected,Allstate
Nissan,Altima,2019,Diesel,Manual,CUST4512,Houston,44,Other,70139.3,943.39,5611.14,74807.05,Cash,REG-37260,23-03-2020,12-08-2022,Local Dealer,Dallas,New,2 years,Rejected,Allstate
Chevrolet,Traverse,2016,Hybrid,Manual,CUST9339,San Francisco,23,Male,41775.56,1360.57,3342.04,43757.03,Credit Card,REG-68633,24-09-2021,26-08-2026,TrueCar,Los Angeles,New,3 years,Approved,Liberty Mutual
Hyundai,Tucson,2022,Petrol,Automatic,CUST9477,New York,51,Female,63476.3,2327.94,5078.1,66226.46,Credit Card,REG-18933,26-10-2024,15-07-2029,DriveTime,Boston,Used,No Warranty,Approved,Liberty Mutual
Audi,A3,2018,Diesel,Manual,CUST2827,Houston,43,Female,23742.71,1167.01,1899.42,24475.12,Bank Transfer,REG-34241,06-07-2020,18-02-2022,DriveTime,Houston,Used,No Warranty,Rejected,State Farm
Honda,Pilot,2016,Petrol,Manual,CUST9262,Seattle,49,Other,15566.97,558.37,1245.36,16253.96,Credit Card,REG-63833,04-09-2023,27-02-2027,Local Dealer,Los Angeles,New,2 years,Approved,Liberty Mutual
Mercedes,GLA,2015,Electric,Automatic,CUST2035,San Francisco,27,Other,48921.09,1522.62,3913.69,51312.16,Bank Transfer,REG-63551,19-03-2024,06-06-2025,Vroom,San Francisco,Used,No Warranty,Rejected,Allstate
Toyota,Corolla,2021,Electric,Automatic,CUST4543,Miami,36,Female,64624.62,3625.27,5169.97,66169.32,Bank Transfer,REG-99200,05-12-2024,05-01-2027,TrueCar,Los Angeles,Used,No Warranty,Approved,Liberty Mutual
Audi,Q5,2024,Diesel,Manual,CUST3234,Boston,53,Other,72521.65,2029.23,5801.73,76294.15,Financed Loan,REG-29619,08-09-2020,21-12-2023,CarMax,San Francisco,Used,No Warranty,Pending,Geico
Chevrolet,Malibu,2020,Petrol,Manual,CUST3263,Los Angeles,41,Female,48218.35,31.96,3857.47,52043.86,Financed Loan,REG-44152,12-05-2021,16-01-2024,TrueCar,Dallas,Used,No Warranty,Pending,State Farm
Hyundai,Santa Fe,2016,Petrol,Manual,CUST9825,Chicago,49,Male,73259.82,4117.07,5860.79,75003.54,Financed Loan,REG-44545,18-09-2024,17-04-2029,Local Dealer,New York,New,1 years,Pending,Progressive
Audi,Q5,2020,Petrol,Manual,CUST5254,Seattle,65,Male,28711.32,3002.4,2296.91,28005.83,Credit Card,REG-87261,02-07-2022,01-01-2025,Vroom,Houston,Used,No Warranty,Pending,State Farm
Audi,A4,2020,Hybrid,Automatic,CUST6507,Seattle,31,Other,59068.1,2275.02,4725.45,61518.53,Financed Loan,REG-27126,08-10-2021,27-01-2024,TrueCar,Chicago,New,2 years,Approved,Allstate
Mercedes,E-Class,2023,Diesel,Manual,CUST8588,Dallas,53,Male,17890.99,3163.52,1431.28,16158.75,Bank Transfer,REG-16281,25-01-2025,10-03-2029,Local Dealer,San Francisco,New,3 years,Rejected,Liberty Mutual
Kia,Sorento,2019,Petrol,Automatic,CUST7851,Seattle,70,Male,13627.13,2508.12,1090.17,12209.18,Bank Transfer,REG-63928,27-12-2021,01-07-2026,TrueCar,Seattle,New,2 years,Approved,Liberty Mutual
Audi,Q7,2015,Petrol,Automatic,CUST9744,San Francisco,37,Female,71886.2,3688.57,5750.9,73948.53,Cash,REG-97997,24-08-2021,29-07-2025,Vroom,Seattle,Used,No Warranty,Pending,State Farm
Ford,Escape,2018,Electric,Automatic,CUST1499,Miami,25,Male,45104.86,3568.67,3608.39,45144.58,Financed Loan,REG-81519,14-12-2024,05-05-2027,TrueCar,Dallas,Used,No Warranty,Rejected,Geico
Honda,CR-V,2021,Hybrid,Manual,CUST5323,Boston,61,Other,12617.93,3435.03,1009.43,10192.33,Credit Card,REG-99418,12-09-2024,28-02-2029,Vroom,Dallas,Used,No Warranty,Rejected,State Farm
Honda,Civic,2024,Diesel,Automatic,CUST8575,Seattle,18,Other,31616.53,318.35,2529.32,33827.5,Bank Transfer,REG-73215,08-02-2022,31-12-2026,TrueCar,Chicago,New,4 years,Pending,Allstate
Honda,Pilot,2018,Electric,Manual,CUST4270,San Francisco,57,Other,67857.23,1412.56,5428.58,71873.25,Financed Loan,REG-41994,20-10-2022,05-04-2025,TrueCar,Miami,New,4 years,Rejected,Progressive
Ford,Explorer,2018,Diesel,Automatic,CUST4039,Chicago,19,Male,12744.27,415.78,1019.54,13348.03,Cash,REG-63152,17-01-2023,14-05-2026,CarMax,Los Angeles,Used,No Warranty,Rejected,Allstate
Audi,Q5,2015,Diesel,Manual,CUST8145,Boston,66,Male,14077.26,3301.17,1126.18,11902.27,Cash,REG-24730,25-12-2020,11-08-2024,Vroom,Houston,Used,No Warranty,Pending,State Farm
Nissan,Sentra,2018,Hybrid,Automatic,CUST3907,Boston,34,Female,10670.35,185.63,853.63,11338.35,Financed Loan,REG-87143,28-09-2020,29-10-2021,CarMax,Denver,New,4 years,Approved,Allstate
Hyundai,Sonata,2023,Hybrid,Automatic,CUST7011,Miami,70,Other,54451.76,1507.48,4356.14,57300.42,Cash,REG-15751,01-09-2023,23-08-2028,TrueCar,San Francisco,New,2 years,Rejected,Progressive
Hyundai,Elantra,2024,Diesel,Manual,CUST7002,Miami,62,Other,37225.41,851.54,2978.03,39351.9,Cash,REG-31868,03-12-2020,20-10-2025,CarMax,Dallas,Used,No Warranty,Approved,State Farm
Audi,Q7,2020,Diesel,Manual,CUST7954,Seattle,39,Other,47918.32,4495.12,3833.47,47256.67,Cash,REG-27246,17-10-2022,21-12-2024,Local Dealer,Boston,New,1 years,Approved,Geico
Chevrolet,Malibu,2018,Electric,Manual,CUST9831,Houston,19,Male,12404.9,2202.06,992.39,11195.23,Cash,REG-36279,08-01-2021,19-10-2024,TrueCar,San Francisco,Used,No Warranty,Pending,Allstate
Audi,Q7,2023,Diesel,Automatic,CUST7932,Boston,22,Other,5068.46,2885.83,405.48,2588.11,Bank Transfer,REG-86500,12-11-2023,19-12-2026,Vroom,San Francisco,New,1 years,Approved,Liberty Mutual
Hyundai,Elantra,2020,Electric,Automatic,CUST2671,Los Angeles,48,Male,79316.16,4101.14,6345.29,81560.31,Credit Card,REG-31140,30-05-2021,22-08-2025,CarMax,Los Angeles,Used,No Warranty,Approved,Allstate
Ford,Focus,2015,Electric,Manual,CUST2686,Denver,64,Female,12703.09,3466.48,1016.25,10252.86,Cash,REG-69756,23-10-2024,17-04-2026,AutoNation,Los Angeles,New,4 years,Rejected,Progressive
Audi,Q5,2019,Electric,Manual,CUST3315,San Francisco,50,Male,35897.41,3330.06,2871.79,35439.14,Cash,REG-13265,04-12-2020,03-11-2023,CarMax,Boston,New,4 years,Pending,Liberty Mutual
Hyundai,Sonata,2024,Electric,Automatic,CUST6621,Houston,24,Other,79236.19,3044.1,6338.9,82530.99,Cash,REG-48948,16-05-2023,24-11-2024,AutoNation,Denver,Used,No Warranty,Approved,State Farm
Honda,CR-V,2015,Electric,Manual,CUST2560,Miami,28,Male,16188.87,1389.12,1295.11,16094.86,Bank Transfer,REG-71545,25-09-2023,10-11-2027,AutoNation,Boston,Used,No Warranty,Rejected,Geico
Kia,Sorento,2015,Electric,Manual,CUST5896,Dallas,41,Other,53552.84,3254.58,4284.23,54582.49,Bank Transfer,REG-19851,08-07-2020,06-08-2024,AutoNation,Dallas,New,2 years,Pending,Progressive
Ford,Explorer,2016,Hybrid,Automatic,CUST3613,Houston,64,Male,70570.99,1328.19,5645.68,74888.48,Bank Transfer,REG-63264,15-06-2021,04-09-2023,DriveTime,Miami,New,5 years,Pending,Geico
Nissan,Altima,2017,Petrol,Manual,CUST4874,Chicago,20,Other,30464.79,3505.67,2437.18,29396.3,Cash,REG-13134,19-12-2021,27-09-2024,AutoNation,Denver,New,5 years,Approved,State Farm
Mercedes,C-Class,2017,Electric,Automatic,CUST2998,Los Angeles,25,Other,68339.26,1336.59,5467.14,72469.81,Cash,REG-76545,08-01-2024,02-05-2026,CarMax,San Francisco,Used,No Warranty,Pending,Liberty Mutual
Nissan,Sentra,2022,Hybrid,Automatic,CUST8027,Seattle,22,Male,40336.67,4159.17,3226.93,39404.43,Bank Transfer,REG-50380,25-05-2022,02-12-2023,AutoNation,Denver,Used,No Warranty,Pending,State Farm
Honda,CR-V,2022,Petrol,Manual,CUST7919,Denver,46,Male,40862.03,4538.87,3268.96,39592.12,Bank Transfer,REG-85442,31-01-2024,26-06-2028,CarMax,Seattle,New,5 years,Approved,State Farm
Honda,Civic,2023,Hybrid,Manual,CUST4743,Seattle,18,Male,56792.26,1932.96,4543.38,59402.68,Bank Transfer,REG-16852,26-06-2020,22-08-2021,TrueCar,Chicago,New,4 years,Pending,Geico
Nissan,Murano,2017,Hybrid,Automatic,CUST3317,Boston,32,Male,43501.54,3337.5,3480.12,43644.16,Financed Loan,REG-22417,24-01-2025,15-03-2028,DriveTime,Miami,New,5 years,Approved,Geico
Chevrolet,Malibu,2017,Electric,Automatic,CUST3730,Houston,68,Male,44810.17,4889.28,3584.81,43505.7,Bank Transfer,REG-52408,12-12-2024,02-07-2026,AutoNation,Chicago,New,4 years,Pending,Geico
Mercedes,E-Class,2023,Petrol,Manual,CUST7143,Los Angeles,23,Male,53774.26,2954.57,4301.94,55121.63,Financed Loan,REG-44761,03-10-2021,01-02-2023,TrueCar,Miami,New,1 years,Approved,Allstate
Chevrolet,Equinox,2022,Electric,Automatic,CUST9940,Los Angeles,52,Male,77303.1,2670.09,6184.25,80817.26,Cash,REG-22369,18-09-2022,24-06-2024,Vroom,Houston,Used,No Warranty,Approved,Allstate
Toyota,Highlander,2020,Electric,Manual,CUST5705,Miami,31,Female,7319.96,449.71,585.6,7455.85,Cash,REG-76413,16-01-2024,18-06-2028,TrueCar,Dallas,Used,No Warranty,Rejected,Liberty Mutual
Ford,Explorer,2021,Electric,Automatic,CUST7796,New York,31,Other,32763.68,2589.6,2621.09,32795.17,Credit Card,REG-92172,19-02-2021,24-02-2024,Local Dealer,Chicago,New,5 years,Pending,Progressive
Honda,Civic,2016,Electric,Automatic,CUST9939,New York,49,Female,60509.61,4011.42,4840.77,61338.96,Cash,REG-15548,18-10-2023,13-12-2027,DriveTime,Denver,New,3 years,Rejected,Progressive
BMW,3 Series,2019,Electric,Automatic,CUST3673,Los Angeles,37,Other,59628.9,4815.62,4770.31,59583.59,Bank Transfer,REG-84775,30-06-2024,31-03-2027,Vroom,Los Angeles,New,1 years,Pending,Liberty Mutual
Hyundai,Elantra,2022,Petrol,Automatic,CUST1366,Seattle,61,Male,47294.86,1621.06,3783.59,49457.39,Bank Transfer,REG-49012,07-09-2020,20-09-2022,AutoNation,Dallas,New,5 years,Rejected,Geico
Nissan,Altima,2016,Diesel,Manual,CUST6656,Miami,20,Other,64271.02,1129.22,5141.68,68283.48,Financed Loan,REG-41396,20-01-2021,07-03-2024,CarMax,Boston,Used,No Warranty,Approved,Allstate
Mercedes,GLA,2022,Diesel,Automatic,CUST3868,Denver,67,Other,11322.53,599.8,905.8,11628.53,Financed Loan,REG-26224,22-06-2022,29-05-2027,Vroom,Denver,New,2 years,Approved,Liberty Mutual
Chevrolet,Traverse,2021,Petrol,Manual,CUST4116,Chicago,62,Female,28249.02,3824.74,2259.92,26684.2,Cash,REG-61698,26-08-2023,29-01-2027,TrueCar,Los Angeles,New,5 years,Approved,Allstate
Audi,A3,2021,Electric,Manual,CUST6898,New York,36,Female,70203.74,972.48,5616.3,74847.56,Financed Loan,REG-82785,31-07-2022,25-11-2023,Local Dealer,San Francisco,New,4 years,Pending,Progressive
Chevrolet,Traverse,2018,Electric,Manual,CUST9475,Chicago,24,Male,48844.81,1258.42,3907.58,51493.97,Bank Transfer,REG-11323,30-10-2023,02-12-2024,Vroom,San Francisco,New,2 years,Approved,Allstate
Ford,Focus,2017,Diesel,Automatic,CUST6960,Dallas,51,Other,47316.49,4870.79,3785.32,46231.02,Credit Card,REG-78666,05-09-2020,17-10-2022,AutoNation,Los Angeles,Used,No Warranty,Rejected,Allstate
Kia,Sportage,2021,Diesel,Automatic,CUST7944,Miami,53,Male,62699.04,4854.64,5015.92,62860.32,Financed Loan,REG-93864,18-04-2024,20-12-2026,Local Dealer,Dallas,Used,No Warranty,Pending,State Farm
Chevrolet,Malibu,2015,Electric,Automatic,CUST4649,Denver,22,Female,72869.05,3429.76,5829.52,75268.81,Credit Card,REG-51726,02-07-2023,21-09-2026,Local Dealer,Chicago,Used,No Warranty,Rejected,Progressive
Mercedes,GLC,2021,Hybrid,Automatic,CUST4118,Miami,24,Male,74857.5,3308.84,5988.6,77537.26,Bank Transfer,REG-85142,13-07-2023,26-11-2025,CarMax,Boston,Used,No Warranty,Rejected,Liberty Mutual
Toyota,Rav4,2016,Electric,Manual,CUST9111,Boston,50,Male,23487.78,3759.46,1879.02,21607.34,Credit Card,REG-39159,31-08-2024,08-12-2025,CarMax,Boston,Used,No Warranty,Rejected,Allstate
Nissan,Altima,2020,Electric,Automatic,CUST9128,Seattle,67,Other,51347.5,11.94,4107.8,55443.36,Credit Card,REG-24333,04-01-2024,13-03-2026,DriveTime,Miami,New,2 years,Rejected,Geico
Chevrolet,Malibu,2021,Diesel,Automatic,CUST2012,Miami,33,Other,23986.42,4289.52,1918.91,21615.81,Bank Transfer,REG-45112,01-08-2021,17-03-2025,TrueCar,Houston,Used,No Warranty,Pending,Progressive
Chevrolet,Equinox,2016,Diesel,Manual,CUST9679,New York,21,Male,39904.61,2378.97,3192.37,40718.01,Cash,REG-32611,27-01-2024,18-08-2025,AutoNation,Denver,Used,No Warranty,Approved,State Farm
Kia,Soul,2018,Electric,Automatic,CUST8853,Houston,43,Male,55882.78,2050.83,4470.62,58302.57,Bank Transfer,REG-24210,30-12-2024,23-10-2026,Local Dealer,Chicago,Used,No Warranty,Approved,Geico
BMW,3 Series,2015,Hybrid,Manual,CUST9689,San Francisco,70,Other,15815.21,3274.83,1265.22,13805.6,Cash,REG-98839,29-11-2020,02-06-2022,TrueCar,San Francisco,Used,No Warranty,Pending,State Farm
Toyota,Corolla,2022,Diesel,Automatic,CUST2897,Los Angeles,66,Female,36967.39,3654.63,2957.39,36270.15,Bank Transfer,REG-10912,06-08-2023,01-03-2026,AutoNation,Los Angeles,Used,No Warranty,Rejected,State Farm
Ford,Focus,2022,Diesel,Manual,CUST8466,New York,29,Female,43393.24,3681.56,3471.46,43183.14,Cash,REG-49958,27-04-2021,30-03-2025,Vroom,Los Angeles,New,1 years,Pending,Progressive
Toyota,Corolla,2024,Electric,Automatic,CUST1820,Boston,60,Male,40670.69,1246.7,3253.66,42677.65,Cash,REG-22629,24-01-2023,27-03-2025,Local Dealer,Los Angeles,New,2 years,Rejected,Liberty Mutual
Audi,A3,2023,Electric,Manual,CUST5209,Seattle,42,Other,33247.05,3835.24,2659.76,32071.57,Cash,REG-54571,19-08-2021,02-03-2023,Local Dealer,Houston,Used,No Warranty,Approved,Geico
Mercedes,E-Class,2015,Diesel,Automatic,CUST8510,Denver,33,Male,40728.73,3389,3258.3,40598.03,Cash,REG-93073,09-04-2020,05-10-2024,TrueCar,New York,Used,No Warranty,Rejected,Liberty Mutual
Audi,A4,2022,Hybrid,Manual,CUST5468,Boston,54,Female,59743.58,2632.73,4779.49,61890.34,Credit Card,REG-36736,07-12-2020,13-03-2023,Vroom,Houston,Used,No Warranty,Rejected,Geico
Kia,Sorento,2016,Hybrid,Automatic,CUST1602,Chicago,20,Female,66833.02,3514.56,5346.64,68665.1,Cash,REG-63836,11-07-2022,20-08-2026,Vroom,Boston,New,2 years,Rejected,Progressive
Nissan,Altima,2021,Diesel,Manual,CUST2513,Boston,51,Other,29371.65,124.4,2349.73,31596.98,Financed Loan,REG-84161,22-04-2024,17-02-2028,AutoNation,Dallas,Used,No Warranty,Pending,Progressive
Mercedes,C-Class,2015,Hybrid,Manual,CUST5905,Chicago,44,Other,8679.24,2577.97,694.34,6795.61,Cash,REG-45875,28-07-2023,08-12-2025,DriveTime,Los Angeles,New,1 years,Pending,Progressive
Mercedes,GLA,2017,Electric,Automatic,CUST6887,Miami,57,Male,31505.52,3660.38,2520.44,30365.58,Bank Transfer,REG-53235,22-01-2022,07-09-2024,TrueCar,Seattle,Used,No Warranty,Rejected,Allstate
Kia,Soul,2019,Diesel,Manual,CUST8758,Seattle,55,Female,57594.06,1925.95,4607.52,60275.63,Bank Transfer,REG-74725,29-07-2022,11-11-2023,TrueCar,San Francisco,New,5 years,Rejected,Geico
Nissan,Altima,2016,Electric,Automatic,CUST1044,Denver,31,Other,26286.52,3910.46,2102.92,24478.98,Financed Loan,REG-35060,06-09-2024,21-05-2026,Local Dealer,Seattle,New,1 years,Pending,Geico
Honda,Pilot,2022,Petrol,Automatic,CUST6056,Seattle,55,Female,42629.21,1300.05,3410.34,44739.5,Credit Card,REG-36922,20-06-2022,01-10-2026,CarMax,Boston,Used,No Warranty,Approved,State Farm
Chevrolet,Tahoe,2023,Petrol,Manual,CUST6435,Miami,64,Male,7924.84,4764.42,633.99,3794.41,Financed Loan,REG-77405,05-09-2021,04-09-2025,TrueCar,Dallas,New,3 years,Approved,Allstate
