Make,Model,Year,Sale Price,Final Price,Dealer Name,Dealer Location
Hyundai,Sonata,2022,64003.23,67118.4,Vroom,Seattle
Honda,CR-V,2023,57174.04,61335.22,TrueCar,Seattle
BMW,X3,2021,77381.46,80837.23,Vroom,Seattle
Honda,Civic,2024,36177.89,34373.15,CarMax,Chicago
Chevrolet,Tahoe,2019,75132.33,81132.28,CarMax,New York
Ford,Focus,2020,77006.88,79165.28,TrueCar,New York
Nissan,Altima,2019,70139.3,74807.05,Local Dealer,Dallas
Chevrolet,Traverse,2016,41775.56,43757.03,TrueCar,Los Angeles
Hyundai,Tucson,2022,63476.3,66226.46,DriveTime,Boston
Audi,A3,2018,23742.71,24475.12,DriveTime,Houston
Honda,Pilot,2016,15566.97,16253.96,Local Dealer,Los Angeles
Mercedes,GLA,2015,48921.09,51312.16,Vroom,San Francisco
Toyota,Corolla,2021,64624.62,66169.32,TrueCar,Los Angeles
Audi,Q5,2024,72521.65,76294.15,CarMax,San Francisco
Chevrolet,Malibu,2020,48218.35,52043.86,TrueCar,Dallas
Hyundai,Santa Fe,2016,73259.82,75003.54,Local Dealer,New York
Audi,Q5,2020,28711.32,28005.83,Vroom,Houston
Audi,A4,2020,59068.1,61518.53,TrueCar,Chicago
Mercedes,E-Class,2023,17890.99,16158.75,Local Dealer,San Francisco
Kia,Sorento,2019,13627.13,12209.18,TrueCar,Seattle
Audi,Q7,2015,71886.2,73948.53,Vroom,Seattle
Ford,Escape,2018,45104.86,45144.58,TrueCar,Dallas
Honda,CR-V,2021,12617.93,10192.33,Vroom,Dallas
Honda,Civic,2024,31616.53,33827.5,TrueCar,Chicago
Honda,Pilot,2018,67857.23,71873.25,TrueCar,Miami
Ford,Explorer,2018,12744.27,13348.03,CarMax,Los Angeles
Audi,Q5,2015,14077.26,11902.27,Vroom,Houston
Nissan,Sentra,2018,10670.35,11338.35,CarMax,Denver
Hyundai,Sonata,2023,54451.76,57300.42,TrueCar,San Francisco
Hyundai,Elantra,2024,37225.41,39351.9,CarMax,Dallas
Audi,Q7,2020,47918.32,47256.67,Local Dealer,Boston
Chevrolet,Malibu,2018,12404.9,11195.23,TrueCar,San Francisco
Audi,Q7,2023,5068.46,2588.11,Vroom,San Francisco
Hyundai,Elantra,2020,79316.16,81560.31,CarMax,Los Angeles
Ford,Focus,2015,12703.09,10252.86,AutoNation,Los Angeles
Audi,Q5,2019,35897.41,35439.14,CarMax,Boston
Hyundai,Sonata,2024,79236.19,82530.99,AutoNation,Denver
Honda,CR-V,2015,16188.87,16094.86,AutoNation,Boston
Kia,Sorento,2015,53552.84,54582.49,AutoNation,Dallas
Ford,Explorer,2016,70570.99,74888.48,DriveTime,Miami
Nissan,Altima,2017,30464.79,29396.3,AutoNation,Denver
Mercedes,C-Class,2017,68339.26,72469.81,CarMax,San Francisco
Nissan,Sentra,2022,40336.67,39404.43,AutoNation,Denver
Honda,CR-V,2022,40862.03,39592.12,CarMax,Seattle
Honda,Civic,2023,56792.26,59402.68,TrueCar,Chicago
Nissan,Murano,2017,43501.54,43644.16,DriveTime,Miami
Chevrolet,Malibu,2017,44810.17,43505.7,AutoNation,Chicago
Mercedes,E-Class,2023,53774.26,55121.63,TrueCar,Miami
Chevrolet,Equinox,2022,77303.1,80817.26,Vroom,Houston
Toyota,Highlander,2020,7319.96,7455.85,TrueCar,Dallas
Ford,Explorer,2021,32763.68,32795.17,Local Dealer,Chicago
Honda,Civic,2016,60509.61,61338.96,DriveTime,Denver
BMW,3 Series,2019,59628.9,59583.59,Vroom,Los Angeles
Hyundai,Elantra,2022,47294.86,49457.39,AutoNation,Dallas
Nissan,Altima,2016,64271.02,68283.48,CarMax,Boston
Mercedes,GLA,2022,11322.53,11628.53,Vroom,Denver
Chevrolet,Traverse,2021,28249.02,26684.2,TrueCar,Los Angeles
Audi,A3,2021,70203.74,74847.56,Local Dealer,San Francisco
Chevrolet,Traverse,2018,48844.81,51493.97,Vroom,San Francisco
Ford,Focus,2017,47316.49,46231.02,AutoNation,Los Angeles
Kia,Sportage,2021,62699.04,62860.32,Local Dealer,Dallas
Chevrolet,Malibu,2015,72869.05,75268.81,Local Dealer,Chicago
Mercedes,GLC,2021,74857.5,77537.26,CarMax,Boston
Toyota,Rav4,2016,23487.78,21607.34,CarMax,Boston
Nissan,Altima,2020,51347.5,55443.36,DriveTime,Miami
Chevrolet,Malibu,2021,23986.42,21615.81,TrueCar,Houston
Chevrolet,Equinox,2016,39904.61,40718.01,AutoNation,Denver
Kia,Soul,2018,55882.78,58302.57,Local Dealer,Chicago
BMW,3 Series,2015,15815.21,13805.6,TrueCar,San Francisco
Toyota,Corolla,2022,36967.39,36270.15,AutoNation,Los Angeles
Ford,Focus,2022,43393.24,43183.14,Vroom,Los Angeles
Toyota,Corolla,2024,40670.69,42677.65,Local Dealer,Los Angeles
Audi,A3,2023,33247.05,32071.57,Local Dealer,Houston
Mercedes,E-Class,2015,40728.73,40598.03,TrueCar,New York
Audi,A4,2022,59743.58,61890.34,Vroom,Houston
Kia,Sorento,2016,66833.02,68665.1,Vroom,Boston
Nissan,Altima,2021,29371.65,31596.98,AutoNation,Dallas
Mercedes,C-Class,2015,8679.24,6795.61,DriveTime,Los Angeles
Mercedes,GLA,2017,31505.52,30365.58,TrueCar,Seattle
Kia,Soul,2019,57594.06,60275.63,TrueCar,San Francisco
Nissan,Altima,2016,26286.52,24478.98,Local Dealer,Seattle
Honda,Pilot,2022,42629.21,44739.5,CarMax,Boston
Chevrolet,Tahoe,2023,7924.84,3794.41,TrueCar,Dallas
Honda,CR-V,2019,29463.02,27837.04,Vroom,Chicago
Toyota,Corolla,2022,38733.02,39469.96,AutoNation,Los Angeles
Chevrolet,Equinox,2021,39939.01,39986.43,AutoNation,Miami
Honda,CR-V,2021,36145.42,34747.87,DriveTime,Boston
Audi,Q7,2021,30511.78,32257.67,CarMax,Boston
Toyota,Highlander,2015,48359.29,48780.31,AutoNation,Miami
Mercedes,E-Class,2020,20617.61,20669.23,DriveTime,New York
Hyundai,Sonata,2023,71911.45,73451.09,CarMax,Boston
Toyota,Highlander,2020,11126.17,7826.99,AutoNation,Seattle
Mercedes,C-Class,2015,9967.49,6520.17,AutoNation,Los Angeles
Chevrolet,Traverse,2020,30651.19,31498.74,TrueCar,New York
Chevrolet,Malibu,2022,36507.42,38342,CarMax,Seattle
Chevrolet,Traverse,2018,30719.19,32853.89,DriveTime,San Francisco
Hyundai,Elantra,2018,17511.04,17263.55,DriveTime,New York
Nissan,Rogue,2021,42020.75,40745.37,Vroom,San Francisco
BMW,3 Series,2015,27582.2,25644.99,CarMax,New York
Mercedes,E-Class,2017,74751.75,79038.69,TrueCar,Denver
Toyota,Rav4,2018,31032.13,29450.78,TrueCar,Dallas
Ford,Explorer,2015,40043.99,41873.19,TrueCar,Chicago
Mercedes,C-Class,2015,77646.35,80681.65,CarMax,San Francisco
Hyundai,Sonata,2016,73831.47,74747.61,TrueCar,New York
Kia,Sportage,2021,15815.22,12137.57,TrueCar,Miami
Mercedes,C-Class,2021,70945.05,74338.22,Local Dealer,Seattle
Ford,Fusion,2024,48383.44,51501.02,Vroom,Seattle
Audi,A4,2018,11980.59,10768.99,Vroom,Miami
Mercedes,GLA,2017,23988.78,21611.93,Vroom,Boston
Audi,Q7,2024,58591.16,58634.7,AutoNation,Los Angeles
Honda,Civic,2015,54189.16,53854.78,Local Dealer,New York
Chevrolet,Traverse,2017,40896.16,39593.49,CarMax,New York
Kia,Sportage,2024,23883.22,22931.45,AutoNation,Chicago
Kia,Soul,2017,48917.69,49060.51,Vroom,Chicago
Hyundai,Tucson,2016,65540.43,66600.51,CarMax,Seattle
Honda,CR-V,2016,62102.34,64906.84,Local Dealer,Houston
Hyundai,Tucson,2023,78102.57,80144.19,CarMax,Boston
Toyota,Rav4,2018,7919.19,6256.32,Vroom,Miami
Nissan,Sentra,2015,13996.81,11786.24,CarMax,San Francisco
Toyota,Corolla,2016,40123.64,42905.71,AutoNation,Los Angeles
Kia,Sportage,2023,20755.6,22025.06,Local Dealer,Los Angeles
Nissan,Sentra,2022,52145.85,53828.07,CarMax,Denver
Chevrolet,Malibu,2018,53204.93,57127.18,CarMax,New York
Chevrolet,Equinox,2016,50780.92,50273.88,TrueCar,Denver
Nissan,Murano,2020,25611.86,23691.59,Local Dealer,Miami
Nissan,Altima,2021,67522.49,68418.32,Vroom,Houston
BMW,3 Series,2016,59590.99,59868.89,Vroom,Boston
Nissan,Altima,2021,17341.6,17900.72,DriveTime,Denver
Ford,Fusion,2015,26483.5,24145.23,CarMax,Boston
Honda,CR-V,2017,36121.25,37435.71,TrueCar,Miami
Audi,Q5,2017,32904.72,30996.52,Local Dealer,Los Angeles
Audi,Q7,2015,79652.03,82893.36,Vroom,Chicago
Toyota,Camry,2019,25301.77,23476.13,CarMax,San Francisco
Hyundai,Tucson,2020,43063.21,43802.58,Local Dealer,Denver
Nissan,Sentra,2016,16664.8,14425.03,AutoNation,Houston
BMW,5 Series,2020,57058.37,58496.25,Local Dealer,Chicago
Mercedes,GLC,2016,14264.44,11258.82,TrueCar,Denver
Audi,A3,2021,73615.26,76667.23,TrueCar,Chicago
Mercedes,GLC,2018,45845.39,45666.82,CarMax,Houston
Hyundai,Elantra,2024,22809.13,22323.15,TrueCar,Miami
Chevrolet,Malibu,2020,12168.64,13022.87,TrueCar,Chicago
Hyundai,Tucson,2020,52938.75,54980.56,Local Dealer,Chicago
Toyota,Rav4,2020,65137.49,65991.25,Local Dealer,Seattle
Ford,Focus,2022,11765.84,9130.96,AutoNation,San Francisco
Chevrolet,Equinox,2024,75399.12,76706.82,AutoNation,Chicago
Hyundai,Santa Fe,2021,21252.9,21367.19,Vroom,Denver
Kia,Sorento,2023,71886.28,75035.81,DriveTime,Houston
Hyundai,Sonata,2023,56825.51,58462.88,Local Dealer,Houston
Toyota,Corolla,2019,50307.12,52695.9,Vroom,Dallas
Audi,Q7,2017,74753.54,80512.72,Vroom,Houston
Hyundai,Santa Fe,2018,28002.26,26190.55,TrueCar,Miami
Hyundai,Sonata,2024,23500.39,22455.92,DriveTime,San Francisco
Nissan,Sentra,2024,69313.47,72554.54,Vroom,Dallas
Ford,Fusion,2016,79549.04,83227.6,Vroom,Denver
Mercedes,C-Class,2022,11780.28,7819.05,Vroom,Houston
Honda,CR-V,2021,13750.98,14252.28,Local Dealer,San Francisco
Hyundai,Tucson,2023,60774.08,64031.43,Local Dealer,Denver
BMW,X3,2024,32720.44,33891.02,AutoNation,Chicago
Mercedes,E-Class,2018,69119.26,70520.2,TrueCar,Dallas
Toyota,Rav4,2017,71730.1,72886.65,Local Dealer,Dallas
Honda,CR-V,2024,31559.65,32392.69,CarMax,San Francisco
Chevrolet,Equinox,2024,29475.34,29423.64,AutoNation,Seattle
Hyundai,Tucson,2024,61962.8,62102.9,Vroom,San Francisco
Toyota,Highlander,2015,34099.9,32509.8,TrueCar,Miami
Nissan,Murano,2020,73353.56,75686.97,CarMax,Boston
Nissan,Altima,2020,18290.88,17195.11,Local Dealer,Boston
Nissan,Murano,2018,10415.21,7204.97,CarMax,Miami
Hyundai,Elantra,2015,32221.23,33415.8,Local Dealer,Los Angeles
Mercedes,GLC,2018,13537.14,11629.19,CarMax,Houston
BMW,X3,2024,23046.82,23881.57,AutoNation,Seattle
Hyundai,Santa Fe,2017,24447.64,22430.97,CarMax,Denver
Audi,A3,2019,63844.76,65807.17,Local Dealer,Miami
Kia,Sportage,2016,17832.16,14800.7,AutoNation,Houston
Hyundai,Elantra,2021,46983.09,46097.27,Local Dealer,Chicago
Hyundai,Tucson,2019,63285.21,67764.02,DriveTime,Seattle
Ford,Escape,2017,62335.54,66954.52,Local Dealer,San Francisco
Nissan,Murano,2021,5708.05,4803.07,Local Dealer,Miami
Mercedes,E-Class,2017,58907.18,62175.48,AutoNation,Miami
Kia,Seltos,2022,71531.3,73548.24,DriveTime,Miami
Toyota,Corolla,2017,16782.31,14374.03,TrueCar,Los Angeles
Hyundai,Elantra,2017,65909.47,70087.02,Vroom,New York
Ford,Escape,2019,19043.97,17590.25,AutoNation,Denver
Nissan,Rogue,2021,20980.61,21890.45,DriveTime,Seattle
Hyundai,Elantra,2018,17442.03,16510.46,CarMax,Miami
Mercedes,GLC,2022,55697.89,55337.13,Local Dealer,Los Angeles
Mercedes,C-Class,2015,69083.51,71822.5,Local Dealer,New York
BMW,3 Series,2021,47023.29,45881.31,Vroom,Houston
Nissan,Sentra,2019,67160.93,68444.85,TrueCar,Denver
Chevrolet,Traverse,2021,8203.99,6555.67,AutoNation,Miami
Kia,Seltos,2024,72778.74,75248.24,CarMax,Dallas
Honda,Civic,2018,67592.45,71510.38,TrueCar,Chicago
Chevrolet,Equinox,2024,72666.52,76350.76,AutoNation,Boston
Chevrolet,Traverse,2024,75705.05,79316.36,CarMax,New York
Nissan,Altima,2017,76527.97,78458.98,DriveTime,Seattle
Mercedes,GLC,2023,55185.14,55105.82,Vroom,Boston
BMW,X5,2020,60478.84,63021.73,DriveTime,Boston
Honda,CR-V,2021,37701.23,37099.83,Vroom,San Francisco
Mercedes,GLA,2016,30762.35,30015.14,CarMax,Seattle
BMW,3 Series,2016,68890.28,72090.6,CarMax,Houston
Nissan,Sentra,2022,70169.21,70867.98,CarMax,New York
Mercedes,GLC,2022,65180.37,66118.43,DriveTime,Chicago
Mercedes,GLC,2016,66769.1,70946.09,DriveTime,Miami
Mercedes,GLA,2024,37571.83,36045.97,AutoNation,New York
Toyota,Camry,2024,70044.89,73786.98,AutoNation,Denver
Audi,A4,2019,13674.77,12621.47,Vroom,New York
Toyota,Camry,2019,31422.14,30380.92,DriveTime,San Francisco
BMW,X3,2023,75714.45,79411.33,Vroom,Seattle
Ford,Explorer,2017,7371.88,6622.43,DriveTime,San Francisco
Ford,Focus,2019,75546.87,79023.11,CarMax,San Francisco
Ford,Explorer,2020,79346.8,85104.15,AutoNation,New York
Honda,Civic,2019,30377.23,30132.34,DriveTime,San Francisco
Chevrolet,Malibu,2020,48279.73,51866.51,Local Dealer,New York
Toyota,Corolla,2023,11646.21,12184.44,TrueCar,San Francisco
Kia,Sorento,2022,65528.6,69226.15,DriveTime,Houston
Honda,CR-V,2018,41535.29,44602.43,CarMax,New York
Honda,Accord,2016,45801.65,45640.75,CarMax,Miami
Kia,Seltos,2016,35743.26,34192.66,Vroom,Houston
Ford,Focus,2018,25867.9,27523.91,DriveTime,Seattle
Hyundai,Tucson,2017,62167.06,63551.73,DriveTime,Houston
Ford,Fusion,2017,35416.34,37246.09,Local Dealer,Los Angeles
BMW,X5,2016,51797.63,52638.23,Vroom,Miami
Honda,Accord,2019,75363.54,80581.62,Vroom,Los Angeles
Ford,Fusion,2019,75881.06,77553.47,AutoNation,Houston
Nissan,Rogue,2022,44642.94,45535.23,DriveTime,Miami
Toyota,Corolla,2016,47541.93,46978.45,CarMax,Seattle
Nissan,Sentra,2017,58326.47,61915.92,DriveTime,Denver
Audi,A3,2019,72050.4,72949.84,Local Dealer,San Francisco
Toyota,Rav4,2016,45952.68,47862.28,CarMax,Dallas
Hyundai,Elantra,2018,6102.63,4240.24,Vroom,Dallas
Audi,A3,2016,46414.38,46774.16,Vroom,Los Angeles
Chevrolet,Tahoe,2019,50357.61,51750.95,AutoNation,Houston
Kia,Seltos,2015,58208.7,61925.49,CarMax,Miami
Nissan,Murano,2024,16294.84,17479.26,TrueCar,Houston
Ford,Explorer,2015,22578.82,23421.81,Vroom,Houston
Audi,Q5,2019,8993.85,7453.82,AutoNation,Los Angeles
Nissan,Altima,2018,28158.73,28709.32,CarMax,Boston
Chevrolet,Equinox,2023,6687.1,4091.73,TrueCar,Chicago
Honda,CR-V,2015,59174.77,60667.91,TrueCar,Dallas
Ford,Explorer,2016,77650.87,78901.24,CarMax,New York
Hyundai,Santa Fe,2020,49164.53,49004.51,TrueCar,New York
Nissan,Sentra,2022,47798.15,47087.82,AutoNation,Chicago
Kia,Sportage,2020,78245.03,82977.7,CarMax,Boston
Ford,Fusion,2023,10484.47,8303.98,Vroom,Seattle
Audi,A4,2024,11120.67,8611.89,TrueCar,Seattle
Mercedes,GLA,2024,45209.45,48513.47,TrueCar,Seattle
Chevrolet,Traverse,2020,25150.63,26215.16,DriveTime,San Francisco
BMW,3 Series,2023,20730.49,20840.01,AutoNation,Houston
BMW,5 Series,2019,48347.36,48047.09,CarMax,Chicago
Ford,Escape,2019,43635.39,46226.08,DriveTime,Dallas
Audi,Q7,2015,5119.3,1613.19,TrueCar,New York
Toyota,Corolla,2022,12960.83,12629.72,AutoNation,Miami
Honda,Pilot,2016,27582.43,27507.04,CarMax,New York
Hyundai,Sonata,2021,29987.22,31378.98,Vroom,New York
BMW,5 Series,2022,7321.04,4314.26,Local Dealer,Seattle
Hyundai,Elantra,2020,22389.48,21493.48,DriveTime,Boston
Audi,A3,2015,61699.82,62376.67,Vroom,Denver
Ford,Escape,2022,16478.28,14392.89,AutoNation,Denver
Kia,Sorento,2018,14478.49,12464.74,Local Dealer,San Francisco
Mercedes,GLC,2016,29384.91,28599.04,DriveTime,Boston
Nissan,Altima,2019,45311.9,44899.67,Local Dealer,Boston
Ford,Escape,2023,66480.08,69341.14,TrueCar,San Francisco
BMW,X3,2019,51558.58,55318,DriveTime,Dallas
BMW,3 Series,2016,28368.71,30462.51,DriveTime,Seattle
Mercedes,E-Class,2022,61502.92,65862.21,DriveTime,Seattle
Toyota,Corolla,2016,55198.7,56159.7,DriveTime,Houston
Chevrolet,Traverse,2020,15195.41,11943.28,AutoNation,Miami
Hyundai,Sonata,2021,40339.11,42872.71,DriveTime,Boston
Chevrolet,Malibu,2018,42657.17,44941.19,DriveTime,Miami
BMW,X5,2017,41655.62,44987.52,CarMax,Los Angeles
Mercedes,C-Class,2018,9689.32,6987.95,Vroom,Houston
Audi,Q5,2022,76569.99,81347.67,AutoNation,Miami
Toyota,Corolla,2015,54707.32,56893.06,DriveTime,Denver
Honda,Pilot,2020,25872.16,27097.7,DriveTime,New York
Hyundai,Sonata,2020,50445.57,51619.98,Local Dealer,Chicago
Chevrolet,Tahoe,2024,56427.94,58090.81,Local Dealer,Boston
Honda,CR-V,2019,59508.26,64103.53,AutoNation,Seattle
Hyundai,Santa Fe,2015,61434.67,61681.25,AutoNation,Los Angeles
Toyota,Camry,2019,54466.5,54914.37,AutoNation,Seattle
Audi,Q5,2015,30038.56,29201.88,Local Dealer,Boston
Hyundai,Sonata,2023,75699,79478.75,Vroom,Denver
Kia,Seltos,2016,67529.08,72160.67,Vroom,Los Angeles
Hyundai,Santa Fe,2015,52033.6,51597.58,TrueCar,Dallas
Mercedes,GLC,2017,69302.35,71972.53,DriveTime,Miami
Nissan,Rogue,2024,48238.53,50665.11,CarMax,Houston
Kia,Sorento,2015,18159.61,19145.07,DriveTime,Boston
Kia,Sorento,2017,42139.62,41475.5,Local Dealer,Houston
Kia,Seltos,2015,23057.02,23951.73,Vroom,Miami
Toyota,Rav4,2024,18354.87,17609.25,AutoNation,Los Angeles
Mercedes,E-Class,2017,57912.73,60314.42,TrueCar,Boston
Chevrolet,Malibu,2016,74628.48,75804.47,CarMax,New York
Mercedes,E-Class,2018,5469.82,1366.59,AutoNation,Dallas
BMW,X5,2023,33593.99,32109.93,Local Dealer,Los Angeles
Toyota,Corolla,2019,36880.6,39498.59,AutoNation,New York
Ford,Fusion,2015,55671.53,56656.55,DriveTime,Boston
Audi,Q7,2018,25100.56,26611.3,AutoNation,Chicago
Audi,Q7,2021,61138.55,64592.79,Local Dealer,Seattle
Ford,Fusion,2019,24914.41,24500.23,CarMax,Chicago
BMW,X3,2015,47383.6,49272.37,TrueCar,San Francisco
BMW,5 Series,2015,18124.17,16734.37,TrueCar,Los Angeles
Chevrolet,Traverse,2024,8770.79,4914.76,CarMax,San Francisco
Toyota,Corolla,2021,48215.73,49276.65,AutoNation,Denver
Honda,CR-V,2017,57684.98,61625.52,CarMax,Miami
Kia,Seltos,2021,31791.36,30787.23,Local Dealer,Denver
Toyota,Camry,2023,78293.69,80030.01,Vroom,Seattle
Honda,CR-V,2024,64623.26,65394.04,DriveTime,Dallas
Honda,CR-V,2024,40297.15,42271.11,Local Dealer,Boston
Toyota,Corolla,2018,53706.05,57217.07,DriveTime,New York
BMW,5 Series,2019,7443.95,6753.19,DriveTime,Chicago
Mercedes,GLC,2017,44587.28,47668.32,DriveTime,New York
Kia,Sportage,2015,33383.46,31646.42,Local Dealer,San Francisco
Honda,Pilot,2019,71585.68,77207.52,TrueCar,Dallas
Kia,Soul,2015,5983.21,5203.63,CarMax,Boston
Kia,Seltos,2023,13973.59,12954.97,AutoNation,Miami
Mercedes,GLA,2016,60045.03,62991.63,CarMax,Seattle
Chevrolet,Traverse,2015,28394.16,28879.46,DriveTime,Dallas
Ford,Fusion,2018,75142.47,78237.42,CarMax,Los Angeles
Chevrolet,Equinox,2019,30576,32866.61,Vroom,New York
Ford,Explorer,2022,9726.51,8580.78,DriveTime,Seattle
Mercedes,C-Class,2022,24006.09,25068.34,Vroom,Miami
Toyota,Highlander,2020,47280.58,50020.24,AutoNation,Dallas
Kia,Seltos,2018,15787.04,15698.75,DriveTime,Miami
Hyundai,Elantra,2023,59660.46,59661.77,CarMax,Dallas
Chevrolet,Tahoe,2015,15699.19,12516.81,DriveTime,Miami
Hyundai,Tucson,2016,53781.13,58010.4,Vroom,Los Angeles
Honda,Civic,2020,71183.9,74614.53,CarMax,New York
Kia,Soul,2024,70288.4,75275.34,CarMax,San Francisco
Ford,Focus,2017,7729.42,4138.03,Vroom,Chicago
Ford,Escape,2024,63588.16,65061.2,DriveTime,New York
Nissan,Altima,2022,63740.18,68754.59,Vroom,Los Angeles
Hyundai,Sonata,2021,9293.13,6861.78,Vroom,Denver
Nissan,Sentra,2023,24640.33,24271.09,Vroom,Miami
Ford,Escape,2022,41187.03,44142.37,TrueCar,New York
Ford,Focus,2018,73912.31,75380.06,TrueCar,Chicago
Audi,A3,2018,78507.73,81834.11,TrueCar,Seattle
Nissan,Murano,2020,41817.66,41798.6,TrueCar,Los Angeles
Kia,Sportage,2015,17537.24,16942.94,DriveTime,Los Angeles
Ford,Explorer,2018,41353.62,41061.35,Local Dealer,Boston
Toyota,Camry,2021,29015.42,29267.59,CarMax,San Francisco
Honda,Pilot,2018,72699.32,76697.8,Local Dealer,New York
BMW,X5,2021,37070.99,39867.73,TrueCar,Houston
Honda,Accord,2024,79143.67,84053.15,Local Dealer,Denver
Ford,Escape,2019,25741.24,23995.59,DriveTime,Miami
Ford,Fusion,2019,34030.51,34595.4,DriveTime,Boston
Toyota,Highlander,2020,78545.8,82559.03,Local Dealer,Dallas
Ford,Escape,2019,77890.56,80767.8,Vroom,Dallas
Hyundai,Sonata,2019,73243.25,74941.46,CarMax,Seattle
Hyundai,Santa Fe,2020,19141.26,16490.08,Vroom,New York
Nissan,Sentra,2020,5373.2,2410.52,Vroom,Denver
Nissan,Rogue,2022,20949.92,17736.05,CarMax,San Francisco
Chevrolet,Malibu,2024,70084.49,74284.2,DriveTime,Houston
Ford,Fusion,2016,14753.1,15889.9,Local Dealer,Seattle
Mercedes,GLC,2017,10811.61,7062.42,CarMax,Houston
Mercedes,GLA,2018,19426.44,16591.76,Vroom,New York
Ford,Fusion,2019,36038.55,34261.78,Local Dealer,Miami
Toyota,Camry,2023,12377.03,10188.51,TrueCar,Houston
Nissan,Murano,2016,63222.52,68268.26,Vroom,Boston
Ford,Escape,2019,28936.28,27589.68,CarMax,Chicago
Mercedes,GLA,2019,39107.41,40458.96,TrueCar,Houston
Audi,Q5,2019,33221.29,34030,Vroom,Seattle
Honda,CR-V,2023,16879.13,13587.86,AutoNation,New York
Kia,Seltos,2017,55344.08,55788.64,CarMax,Dallas
Chevrolet,Equinox,2021,9243.32,6316.79,Local Dealer,San Francisco
Honda,Pilot,2019,60315.64,62571.8,CarMax,New York
Hyundai,Elantra,2020,63765.17,65850.95,AutoNation,San Francisco
Honda,CR-V,2023,78999.78,80824.73,Vroom,Seattle
Audi,A3,2018,72965.81,78482.7,AutoNation,Miami
Ford,Explorer,2020,63659.95,67690.44,TrueCar,Miami
Toyota,Camry,2020,67297.06,71254.35,AutoNation,Los Angeles
Hyundai,Santa Fe,2017,78092.98,81196.56,TrueCar,Chicago
Honda,Accord,2015,49921.71,49784.9,DriveTime,Denver
BMW,3 Series,2020,79638.85,85710.92,Vroom,Houston
Hyundai,Tucson,2024,63666.16,65101.76,DriveTime,Los Angeles
Hyundai,Sonata,2017,25011.26,25586.69,CarMax,Dallas
Kia,Soul,2018,30662.2,30690.52,CarMax,Denver
Kia,Seltos,2023,59010.39,60533.47,CarMax,Miami
BMW,5 Series,2024,9685.46,10254.87,TrueCar,San Francisco
Mercedes,GLA,2018,72217.03,77171.47,DriveTime,Dallas
Audi,Q7,2019,31654.31,31549.87,Local Dealer,Miami
Mercedes,E-Class,2017,63227.12,65678.86,CarMax,Seattle
Kia,Sorento,2021,33362.71,34853.76,TrueCar,Dallas
Ford,Fusion,2015,24452.77,23979.9,AutoNation,Chicago
