Make,Model,Fuel Type,Customer ID,Customer Location,Customer Age,Final Price,Registration Number
Ford,Escape,Electric,CUST1499,Miami,25,45144.58,REG-81519
Honda,CR-V,Hybrid,CUST5323,Boston,61,10192.33,REG-99418
Honda,Civic,Diesel,CUST8575,Seattle,18,33827.5,REG-73215
Honda,Pilot,Electric,CUST4270,San Francisco,57,71873.25,REG-41994
Ford,Explorer,Diesel,CUST4039,Chicago,19,13348.03,REG-63152
Audi,Q5,Diesel,CUST8145,Boston,66,11902.27,REG-24730
Nissan,Sentra,Hybrid,CUST3907,Boston,34,11338.35,REG-87143
Hyundai,Sonata,Hybrid,CUST7011,Miami,70,57300.42,REG-15751
Hyundai,Elantra,Diesel,CUST7002,Miami,62,39351.9,REG-31868
Audi,Q7,Diesel,CUST7954,Seattle,39,47256.67,REG-27246
Chevrolet,Malibu,Electric,CUST9831,Houston,19,11195.23,REG-36279
Audi,Q7,Diesel,CUST7932,Boston,22,2588.11,REG-86500
Hyundai,Elantra,Electric,CUST2671,Los Angeles,48,81560.31,REG-31140
Ford,Focus,Electric,CUST2686,Denver,64,10252.86,REG-69756
Audi,Q5,Electric,CUST3315,San Francisco,50,35439.14,REG-13265
Hyundai,Sonata,Electric,CUST6621,Houston,24,82530.99,REG-48948
Honda,CR-V,Electric,CUST2560,Miami,28,16094.86,REG-71545
Kia,Sorento,Electric,CUST5896,Dallas,41,54582.49,REG-19851
Ford,Explorer,Hybrid,CUST3613,Houston,64,74888.48,REG-63264
Nissan,Altima,Petrol,CUST4874,Chicago,20,29396.3,REG-13134
Mercedes,C-Class,Electric,CUST2998,Los Angeles,25,72469.81,REG-76545
Nissan,Sentra,Hybrid,CUST8027,Seattle,22,39404.43,REG-50380
Honda,CR-V,Petrol,CUST7919,Denver,46,39592.12,REG-85442
Honda,Civic,Hybrid,CUST4743,Seattle,18,59402.68,REG-16852
Nissan,Murano,Hybrid,CUST3317,Boston,32,43644.16,REG-22417
Chevrolet,Malibu,Electric,CUST3730,Houston,68,43505.7,REG-52408
Mercedes,E-Class,Petrol,CUST7143,Los Angeles,23,55121.63,REG-44761
Chevrolet,Equinox,Electric,CUST9940,Los Angeles,52,80817.26,REG-22369
Toyota,Highlander,Electric,CUST5705,Miami,31,7455.85,REG-76413
Ford,Explorer,Electric,CUST7796,New York,31,32795.17,REG-92172
Honda,Civic,Electric,CUST9939,New York,49,61338.96,REG-15548
BMW,3 Series,Electric,CUST3673,Los Angeles,37,59583.59,REG-84775
Hyundai,Elantra,Petrol,CUST1366,Seattle,61,49457.39,REG-49012
Nissan,Altima,Diesel,CUST6656,Miami,20,68283.48,REG-41396
Mercedes,GLA,Diesel,CUST3868,Denver,67,11628.53,REG-26224
Chevrolet,Traverse,Petrol,CUST4116,Chicago,62,26684.2,REG-61698
Audi,A3,Electric,CUST6898,New York,36,74847.56,REG-82785
Chevrolet,Traverse,Electric,CUST9475,Chicago,24,51493.97,REG-11323
Ford,Focus,Diesel,CUST6960,Dallas,51,46231.02,REG-78666
Kia,Sportage,Diesel,CUST7944,Miami,53,62860.32,REG-93864
Chevrolet,Malibu,Electric,CUST4649,Denver,22,75268.81,REG-51726
Mercedes,GLC,Hybrid,CUST4118,Miami,24,77537.26,REG-85142
Toyota,Rav4,Electric,CUST9111,Boston,50,21607.34,REG-39159
Nissan,Altima,Electric,CUST9128,Seattle,67,55443.36,REG-24333
Chevrolet,Malibu,Diesel,CUST2012,Miami,33,21615.81,REG-45112
Chevrolet,Equinox,Diesel,CUST9679,New York,21,40718.01,REG-32611
Kia,Soul,Electric,CUST8853,Houston,43,58302.57,REG-24210
BMW,3 Series,Hybrid,CUST9689,San Francisco,70,13805.6,REG-98839
Toyota,Corolla,Diesel,CUST2897,Los Angeles,66,36270.15,REG-10912
Ford,Focus,Diesel,CUST8466,New York,29,43183.14,REG-49958
Toyota,Corolla,Electric,CUST1820,Boston,60,42677.65,REG-22629
Audi,A3,Electric,CUST5209,Seattle,42,32071.57,REG-54571
Mercedes,E-Class,Diesel,CUST8510,Denver,33,40598.03,REG-93073
Audi,A4,Hybrid,CUST5468,Boston,54,61890.34,REG-36736
Kia,Sorento,Hybrid,CUST1602,Chicago,20,68665.1,REG-63836
Nissan,Altima,Diesel,CUST2513,Boston,51,31596.98,REG-84161
Mercedes,C-Class,Hybrid,CUST5905,Chicago,44,6795.61,REG-45875
Mercedes,GLA,Electric,CUST6887,Miami,57,30365.58,REG-53235
Kia,Soul,Diesel,CUST8758,Seattle,55,60275.63,REG-74725
Nissan,Altima,Electric,CUST1044,Denver,31,24478.98,REG-35060
Honda,Pilot,Petrol,CUST6056,Seattle,55,44739.5,REG-36922
Chevrolet,Tahoe,Petrol,CUST6435,Miami,64,3794.41,REG-77405
Honda,CR-V,Diesel,CUST7962,Denver,50,27837.04,REG-77927
Toyota,Corolla,Electric,CUST1004,Denver,49,39469.96,REG-69308
Chevrolet,Equinox,Hybrid,CUST2108,Denver,58,39986.43,REG-16197
Honda,CR-V,Electric,CUST4125,Denver,27,34747.87,REG-25246
Audi,Q7,Petrol,CUST8602,Miami,60,32257.67,REG-25116
Toyota,Highlander,Petrol,CUST7435,Boston,34,48780.31,REG-15959
Mercedes,E-Class,Diesel,CUST3265,Denver,35,20669.23,REG-96281
Hyundai,Sonata,Petrol,CUST6206,Miami,30,73451.09,REG-19630
Toyota,Highlander,Electric,CUST3419,Houston,49,7826.99,REG-16267
Mercedes,C-Class,Electric,CUST7399,Boston,65,6520.17,REG-58632
Chevrolet,Traverse,Hybrid,CUST3079,Houston,43,31498.74,REG-82050
Chevrolet,Malibu,Diesel,CUST4127,Dallas,55,38342,REG-69498
Chevrolet,Traverse,Petrol,CUST1259,Houston,24,32853.89,REG-70495
Hyundai,Elantra,Electric,CUST6501,Chicago,18,17263.55,REG-85357
Nissan,Rogue,Hybrid,CUST2554,Denver,62,40745.37,REG-97991
BMW,3 Series,Electric,CUST5356,Denver,26,25644.99,REG-60600
Mercedes,E-Class,Hybrid,CUST3020,Seattle,45,79038.69,REG-25473
Toyota,Rav4,Hybrid,CUST1108,Denver,65,29450.78,REG-32139
Ford,Explorer,Diesel,CUST6354,Dallas,50,41873.19,REG-53836
Mercedes,C-Class,Electric,CUST2413,Denver,67,80681.65,REG-57172
Hyundai,Sonata,Diesel,CUST6637,New York,31,74747.61,REG-50688
Kia,Sportage,Petrol,CUST4748,Miami,42,12137.57,REG-35203
Mercedes,C-Class,Hybrid,CUST9352,Los Angeles,28,74338.22,REG-20383
Ford,Fusion,Hybrid,CUST2150,Chicago,51,51501.02,REG-32851
Audi,A4,Electric,CUST4869,New York,57,10768.99,REG-83621
Mercedes,GLA,Electric,CUST9376,Los Angeles,34,21611.93,REG-97621
Audi,Q7,Diesel,CUST5097,Denver,69,58634.7,REG-17555
Honda,Civic,Diesel,CUST9165,Denver,20,53854.78,REG-66931
Chevrolet,Traverse,Electric,CUST3150,Dallas,45,39593.49,REG-13295
Kia,Sportage,Diesel,CUST9671,Denver,66,22931.45,REG-13239
Kia,Soul,Petrol,CUST1667,Miami,64,49060.51,REG-18973
Hyundai,Tucson,Diesel,CUST5176,Chicago,53,66600.51,REG-84789
Honda,CR-V,Hybrid,CUST6641,Denver,42,64906.84,REG-49114
Hyundai,Tucson,Electric,CUST7697,San Francisco,24,80144.19,REG-65531
Toyota,Rav4,Electric,CUST8519,Denver,36,6256.32,REG-87285
Nissan,Sentra,Electric,CUST5950,Boston,22,11786.24,REG-94316
Toyota,Corolla,Petrol,CUST7924,Boston,39,42905.71,REG-68753
Kia,Sportage,Diesel,CUST4475,Dallas,31,22025.06,REG-34565
Nissan,Sentra,Petrol,CUST3426,Boston,27,53828.07,REG-82338
Chevrolet,Malibu,Diesel,CUST3953,Denver,33,57127.18,REG-51824
Chevrolet,Equinox,Electric,CUST2061,Boston,58,50273.88,REG-72466
Nissan,Murano,Electric,CUST4030,Boston,67,23691.59,REG-98497
Nissan,Altima,Petrol,CUST6629,Los Angeles,65,68418.32,REG-36604
BMW,3 Series,Electric,CUST1090,Houston,32,59868.89,REG-50141
Nissan,Altima,Hybrid,CUST7354,Seattle,56,17900.72,REG-86406
Ford,Fusion,Electric,CUST1498,New York,50,24145.23,REG-49223
Honda,CR-V,Hybrid,CUST3986,Houston,68,37435.71,REG-59262
Audi,Q5,Hybrid,CUST7436,San Francisco,56,30996.52,REG-11193
Audi,Q7,Petrol,CUST8528,Los Angeles,21,82893.36,REG-23726
Toyota,Camry,Diesel,CUST2338,San Francisco,42,23476.13,REG-85980
Hyundai,Tucson,Petrol,CUST9223,Houston,18,43802.58,REG-14753
Nissan,Sentra,Diesel,CUST4122,Chicago,30,14425.03,REG-92416
BMW,5 Series,Petrol,CUST5178,Miami,66,58496.25,REG-77139
Mercedes,GLC,Diesel,CUST6848,Dallas,48,11258.82,REG-10415
Audi,A3,Electric,CUST6499,Boston,27,76667.23,REG-11467
Mercedes,GLC,Electric,CUST6460,Houston,26,45666.82,REG-69545
Hyundai,Elantra,Petrol,CUST2069,San Francisco,46,22323.15,REG-68181
Chevrolet,Malibu,Diesel,CUST6510,Los Angeles,45,13022.87,REG-40677
Hyundai,Tucson,Electric,CUST7900,Denver,52,54980.56,REG-19681
Toyota,Rav4,Electric,CUST6947,Miami,33,65991.25,REG-81539
Ford,Focus,Diesel,CUST2479,Chicago,25,9130.96,REG-59416
Chevrolet,Equinox,Diesel,CUST5922,Dallas,69,76706.82,REG-29881
Hyundai,Santa Fe,Petrol,CUST7539,Dallas,25,21367.19,REG-40293
Kia,Sorento,Electric,CUST5276,New York,46,75035.81,REG-99188
Hyundai,Sonata,Electric,CUST8738,Dallas,70,58462.88,REG-32929
Toyota,Corolla,Petrol,CUST3734,Houston,42,52695.9,REG-37271
Audi,Q7,Electric,CUST9315,Los Angeles,55,80512.72,REG-92319
Hyundai,Santa Fe,Petrol,CUST1994,Chicago,18,26190.55,REG-94896
Hyundai,Sonata,Diesel,CUST6000,Dallas,31,22455.92,REG-48864
Nissan,Sentra,Diesel,CUST8404,Dallas,34,72554.54,REG-89657
Ford,Fusion,Petrol,CUST5270,Dallas,66,83227.6,REG-43741
Mercedes,C-Class,Petrol,CUST4712,Los Angeles,60,7819.05,REG-16141
Honda,CR-V,Petrol,CUST8972,Seattle,18,14252.28,REG-43135
Hyundai,Tucson,Petrol,CUST2057,Los Angeles,23,64031.43,REG-98154
BMW,X3,Diesel,CUST5905,Dallas,68,33891.02,REG-13219
Mercedes,E-Class,Diesel,CUST5517,San Francisco,45,70520.2,REG-88866
Toyota,Rav4,Diesel,CUST6466,Seattle,22,72886.65,REG-98785
Honda,CR-V,Hybrid,CUST8436,New York,22,32392.69,REG-70982
Chevrolet,Equinox,Diesel,CUST7094,Boston,45,29423.64,REG-99957
Hyundai,Tucson,Diesel,CUST8055,Dallas,23,62102.9,REG-14710
Toyota,Highlander,Electric,CUST5879,Miami,59,32509.8,REG-60454
Nissan,Murano,Hybrid,CUST9665,New York,29,75686.97,REG-87224
Nissan,Altima,Electric,CUST4937,Seattle,31,17195.11,REG-90306
Nissan,Murano,Diesel,CUST3534,Dallas,21,7204.97,REG-22179
Hyundai,Elantra,Petrol,CUST4884,Houston,21,33415.8,REG-20112
Mercedes,GLC,Petrol,CUST6195,Boston,51,11629.19,REG-11823
BMW,X3,Petrol,CUST9791,Seattle,49,23881.57,REG-65870
Hyundai,Santa Fe,Hybrid,CUST4025,Denver,32,22430.97,REG-53743
Audi,A3,Hybrid,CUST8316,New York,50,65807.17,REG-89147
Kia,Sportage,Diesel,CUST4694,Miami,64,14800.7,REG-64263
Hyundai,Elantra,Hybrid,CUST8059,Seattle,23,46097.27,REG-60347
Hyundai,Tucson,Petrol,CUST4265,Seattle,69,67764.02,REG-69008
Ford,Escape,Petrol,CUST7505,Los Angeles,38,66954.52,REG-35903
Nissan,Murano,Electric,CUST4430,Houston,22,4803.07,REG-34527
Mercedes,E-Class,Petrol,CUST4043,New York,68,62175.48,REG-66114
Kia,Seltos,Hybrid,CUST1212,Miami,31,73548.24,REG-17241
Toyota,Corolla,Petrol,CUST7425,Los Angeles,57,14374.03,REG-46322
Hyundai,Elantra,Petrol,CUST8589,Los Angeles,47,70087.02,REG-34719
Ford,Escape,Diesel,CUST8127,Chicago,45,17590.25,REG-67286
Nissan,Rogue,Hybrid,CUST9564,Dallas,50,21890.45,REG-32746
Hyundai,Elantra,Diesel,CUST2158,Denver,37,16510.46,REG-94452
Mercedes,GLC,Hybrid,CUST4428,San Francisco,63,55337.13,REG-28751
Mercedes,C-Class,Petrol,CUST9434,Dallas,52,71822.5,REG-10405
BMW,3 Series,Electric,CUST6537,New York,30,45881.31,REG-24349
Nissan,Sentra,Petrol,CUST8732,San Francisco,67,68444.85,REG-80813
Chevrolet,Traverse,Petrol,CUST1425,Chicago,28,6555.67,REG-75384
Kia,Seltos,Electric,CUST1753,San Francisco,57,75248.24,REG-47590
Honda,Civic,Electric,CUST8341,San Francisco,33,71510.38,REG-44331
Chevrolet,Equinox,Petrol,CUST5834,Miami,27,76350.76,REG-77337
Chevrolet,Traverse,Hybrid,CUST6034,Denver,18,79316.36,REG-57352
Nissan,Altima,Electric,CUST6374,San Francisco,29,78458.98,REG-34480
Mercedes,GLC,Hybrid,CUST8087,Dallas,26,55105.82,REG-97749
BMW,X5,Electric,CUST3551,Houston,32,63021.73,REG-20555
Honda,CR-V,Electric,CUST5023,New York,30,37099.83,REG-52505
Mercedes,GLA,Hybrid,CUST9917,Denver,30,30015.14,REG-24682
BMW,3 Series,Diesel,CUST2034,Houston,33,72090.6,REG-25743
Nissan,Sentra,Diesel,CUST9415,Miami,35,70867.98,REG-50828
Mercedes,GLC,Petrol,CUST9189,Miami,63,66118.43,REG-97406
Mercedes,GLC,Hybrid,CUST5389,Dallas,45,70946.09,REG-16905
Mercedes,GLA,Petrol,CUST5915,San Francisco,36,36045.97,REG-25410
Toyota,Camry,Electric,CUST7154,Los Angeles,18,73786.98,REG-25994
Audi,A4,Electric,CUST1048,Chicago,58,12621.47,REG-13123
Toyota,Camry,Diesel,CUST4023,San Francisco,47,30380.92,REG-10655
BMW,X3,Diesel,CUST1562,Boston,57,79411.33,REG-13919
Ford,Explorer,Diesel,CUST4857,Houston,37,6622.43,REG-89369
Ford,Focus,Hybrid,CUST8884,Seattle,30,79023.11,REG-36210
Ford,Explorer,Hybrid,CUST8139,Los Angeles,41,85104.15,REG-24324
Honda,Civic,Diesel,CUST7272,Dallas,57,30132.34,REG-70262
Chevrolet,Malibu,Petrol,CUST8191,Miami,43,51866.51,REG-73380
Toyota,Corolla,Diesel,CUST8615,Seattle,50,12184.44,REG-60250
Kia,Sorento,Hybrid,CUST4414,Dallas,53,69226.15,REG-11513
Honda,CR-V,Diesel,CUST6532,San Francisco,37,44602.43,REG-51672
Honda,Accord,Electric,CUST5978,San Francisco,48,45640.75,REG-87807
Kia,Seltos,Petrol,CUST1098,Dallas,51,34192.66,REG-93754
Ford,Focus,Electric,CUST7479,Dallas,29,27523.91,REG-86255
Hyundai,Tucson,Petrol,CUST9438,Boston,58,63551.73,REG-16720
Ford,Fusion,Electric,CUST4339,New York,37,37246.09,REG-16373
BMW,X5,Diesel,CUST5282,Seattle,69,52638.23,REG-49478
Honda,Accord,Diesel,CUST9179,Boston,62,80581.62,REG-38638
Ford,Fusion,Diesel,CUST1203,Houston,23,77553.47,REG-76549
Nissan,Rogue,Petrol,CUST1519,Boston,18,45535.23,REG-22905
Toyota,Corolla,Hybrid,CUST2932,San Francisco,33,46978.45,REG-36700
Nissan,Sentra,Hybrid,CUST4989,Los Angeles,54,61915.92,REG-65521
Audi,A3,Petrol,CUST4793,Boston,46,72949.84,REG-81534
Toyota,Rav4,Hybrid,CUST9809,Denver,36,47862.28,REG-47738
Hyundai,Elantra,Petrol,CUST5254,San Francisco,52,4240.24,REG-92325
Audi,A3,Electric,CUST4388,Chicago,33,46774.16,REG-34291
Chevrolet,Tahoe,Petrol,CUST9233,Seattle,26,51750.95,REG-63938
Kia,Seltos,Electric,CUST7864,San Francisco,26,61925.49,REG-30816
Nissan,Murano,Hybrid,CUST8167,Miami,46,17479.26,REG-69035
Ford,Explorer,Petrol,CUST6012,New York,46,23421.81,REG-91990
Audi,Q5,Petrol,CUST2109,Houston,50,7453.82,REG-97478
Nissan,Altima,Petrol,CUST5570,Denver,47,28709.32,REG-96049
Chevrolet,Equinox,Diesel,CUST8072,Dallas,70,4091.73,REG-67554
Honda,CR-V,Electric,CUST6195,San Francisco,55,60667.91,REG-21436
Ford,Explorer,Electric,CUST9127,San Francisco,40,78901.24,REG-11453
Hyundai,Santa Fe,Hybrid,CUST5348,Los Angeles,24,49004.51,REG-71280
Nissan,Sentra,Hybrid,CUST5397,Boston,43,47087.82,REG-11100
Kia,Sportage,Petrol,CUST9238,Miami,33,82977.7,REG-35200
Ford,Fusion,Diesel,CUST5989,San Francisco,36,8303.98,REG-89595
Audi,A4,Diesel,CUST3747,San Francisco,43,8611.89,REG-44980
Mercedes,GLA,Electric,CUST3298,Miami,60,48513.47,REG-26646
Chevrolet,Traverse,Electric,CUST4598,Dallas,49,26215.16,REG-85622
BMW,3 Series,Electric,CUST5770,Boston,18,20840.01,REG-42207
BMW,5 Series,Diesel,CUST2256,Boston,61,48047.09,REG-64358
Ford,Escape,Diesel,CUST7876,Dallas,40,46226.08,REG-51429
Audi,Q7,Petrol,CUST5808,Chicago,70,1613.19,REG-21879
Toyota,Corolla,Diesel,CUST8172,Los Angeles,39,12629.72,REG-11174
Honda,Pilot,Petrol,CUST3694,Dallas,24,27507.04,REG-55275
Hyundai,Sonata,Petrol,CUST4414,Los Angeles,59,31378.98,REG-73446
BMW,5 Series,Electric,CUST1247,Miami,49,4314.26,REG-61123
Hyundai,Elantra,Petrol,CUST3727,San Francisco,27,21493.48,REG-22829
Audi,A3,Petrol,CUST3737,San Francisco,21,62376.67,REG-59973
Ford,Escape,Petrol,CUST9177,New York,50,14392.89,REG-36931
Kia,Sorento,Electric,CUST3264,San Francisco,18,12464.74,REG-30390
Mercedes,GLC,Petrol,CUST8843,San Francisco,59,28599.04,REG-59010
Nissan,Altima,Hybrid,CUST2538,Denver,26,44899.67,REG-51055
Ford,Escape,Diesel,CUST9021,Los Angeles,48,69341.14,REG-75363
BMW,X3,Electric,CUST4763,Denver,53,55318,REG-74625
BMW,3 Series,Hybrid,CUST6959,Denver,52,30462.51,REG-10985
Mercedes,E-Class,Hybrid,CUST7049,New York,53,65862.21,REG-28584
Toyota,Corolla,Hybrid,CUST7404,Miami,64,56159.7,REG-75407
Chevrolet,Traverse,Petrol,CUST6802,Miami,59,11943.28,REG-95574
Hyundai,Sonata,Diesel,CUST2913,Boston,34,42872.71,REG-83629
Chevrolet,Malibu,Petrol,CUST8820,San Francisco,51,44941.19,REG-24847
BMW,X5,Petrol,CUST3868,Dallas,42,44987.52,REG-89505
Mercedes,C-Class,Petrol,CUST7766,Dallas,44,6987.95,REG-97407
Audi,Q5,Electric,CUST3275,Houston,23,81347.67,REG-75356
Toyota,Corolla,Diesel,CUST6994,Los Angeles,18,56893.06,REG-76958
Honda,Pilot,Electric,CUST4800,San Francisco,48,27097.7,REG-15076
Hyundai,Sonata,Diesel,CUST6275,New York,46,51619.98,REG-60112
Chevrolet,Tahoe,Petrol,CUST6012,Chicago,24,58090.81,REG-83180
Honda,CR-V,Petrol,CUST7581,Miami,69,64103.53,REG-11546
Hyundai,Santa Fe,Petrol,CUST5655,Los Angeles,59,61681.25,REG-18273
Toyota,Camry,Electric,CUST3628,Seattle,41,54914.37,REG-45768
Audi,Q5,Diesel,CUST7647,New York,22,29201.88,REG-68681
Hyundai,Sonata,Hybrid,CUST3357,Chicago,62,79478.75,REG-63104
Kia,Seltos,Hybrid,CUST8610,Los Angeles,59,72160.67,REG-58733
Hyundai,Santa Fe,Electric,CUST8161,Seattle,66,51597.58,REG-49759
Mercedes,GLC,Petrol,CUST8192,Dallas,70,71972.53,REG-70827
Nissan,Rogue,Hybrid,CUST9693,Houston,26,50665.11,REG-71284
Kia,Sorento,Hybrid,CUST8572,Denver,34,19145.07,REG-63842
Kia,Sorento,Diesel,CUST5199,San Francisco,69,41475.5,REG-58034
Kia,Seltos,Hybrid,CUST2425,Houston,41,23951.73,REG-96947
Toyota,Rav4,Diesel,CUST8169,Houston,63,17609.25,REG-64028
Mercedes,E-Class,Hybrid,CUST4129,New York,60,60314.42,REG-40458
Chevrolet,Malibu,Electric,CUST8924,Boston,49,75804.47,REG-66102
Mercedes,E-Class,Electric,CUST2528,Miami,63,1366.59,REG-38826
BMW,X5,Electric,CUST6421,New York,67,32109.93,REG-80955
Toyota,Corolla,Diesel,CUST3396,Seattle,45,39498.59,REG-75007
Ford,Fusion,Hybrid,CUST7727,Boston,41,56656.55,REG-96909
Audi,Q7,Hybrid,CUST2279,Chicago,70,26611.3,REG-85849
Audi,Q7,Hybrid,CUST7387,Seattle,23,64592.79,REG-34073
Ford,Fusion,Diesel,CUST7654,Boston,53,24500.23,REG-64339
BMW,X3,Hybrid,CUST1934,New York,66,49272.37,REG-63724
BMW,5 Series,Petrol,CUST2054,Miami,21,16734.37,REG-62287
Chevrolet,Traverse,Diesel,CUST6993,Seattle,27,4914.76,REG-83383
Toyota,Corolla,Petrol,CUST3552,Boston,30,49276.65,REG-10170
Honda,CR-V,Hybrid,CUST6124,Chicago,31,61625.52,REG-10195
Kia,Seltos,Diesel,CUST5962,Boston,20,30787.23,REG-50180
Toyota,Camry,Hybrid,CUST5055,San Francisco,50,80030.01,REG-64525
Honda,CR-V,Hybrid,CUST1340,New York,36,65394.04,REG-84837
Honda,CR-V,Hybrid,CUST2826,New York,67,42271.11,REG-11365
Toyota,Corolla,Diesel,CUST3264,San Francisco,48,57217.07,REG-46352
BMW,5 Series,Hybrid,CUST1984,Boston,27,6753.19,REG-90279
Mercedes,GLC,Diesel,CUST5374,Dallas,38,47668.32,REG-94623
Kia,Sportage,Hybrid,CUST3074,Denver,21,31646.42,REG-93654
Honda,Pilot,Petrol,CUST6465,Los Angeles,26,77207.52,REG-21755
Kia,Soul,Electric,CUST6655,San Francisco,64,5203.63,REG-18851
Kia,Seltos,Petrol,CUST5797,Los Angeles,42,12954.97,REG-15850
Mercedes,GLA,Electric,CUST4994,Dallas,54,62991.63,REG-16049
Chevrolet,Traverse,Hybrid,CUST4798,New York,60,28879.46,REG-20938
Ford,Fusion,Diesel,CUST9641,New York,21,78237.42,REG-51169
Chevrolet,Equinox,Petrol,CUST7539,San Francisco,20,32866.61,REG-12014
Ford,Explorer,Petrol,CUST9125,Denver,65,8580.78,REG-94217
Mercedes,C-Class,Diesel,CUST4899,Miami,67,25068.34,REG-60834
Toyota,Highlander,Hybrid,CUST9251,Dallas,63,50020.24,REG-55441
Kia,Seltos,Hybrid,CUST9968,Boston,46,15698.75,REG-85779
Hyundai,Elantra,Petrol,CUST1163,Seattle,38,59661.77,REG-30731
Chevrolet,Tahoe,Hybrid,CUST8172,Chicago,54,12516.81,REG-99043
